transaction_id,customer_id,card_id,transaction_type,transaction_date_time,transaction_amount,currency,mcc,description,account_type,account_balance,card_type,card_number_masked,card_expiration_date,card_issuer,cardholder_name,merchant_id,merchant_name,merchant_location,merchant_terminal_id,payment_method,payment_channel,geolocation,authorization_code,authentication_method,3d_secure_status,fraud_risk_score,transaction_status,failure_reason,exchange_rate,rewards_earned,ip_address,device_id,user_agent,session_id,referral_source,companies_directed
d7125ae6-0bae-4946-9d74-714528effb85,a8c271c0-75c2-4f61-8cde-3b8c1693492c,45607dd2-6d5b-4dad-95c1-98592df663af,outbound,2024-10-30 08:56:38,123749.33,GBP,8999,Business Transfer,business,32824.04,MasterCard,**** **** **** 5047,06/34,NatWest,AAA,38f3db62-b41e-4204-8cf3-80ca485d4e08,"Payne, Hurley and Diaz","{'city': 'West Allisonberg', 'state': 'PA', 'country': 'Mexico'}",T9008,wire_transfer,online,"{'latitude': Decimal('-3.516479'), 'longitude': Decimal('-153.565540')}",339572,password,,34,approved,,,0,14.92.65.73,c0f5a281-faf6-4748-a62a-376908cf1667,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_0; rv:1.9.5.20) Gecko/8299-12-06 05:43:22 Firefox/10.0,bfd19b53-4343-41f3-a836-a5842d489d3c,direct,"Payne, Hurley and Diaz (Mexico), Smith PLC (Mexico), Mahoney, White and Wallace (Singapore), Taylor, Shaffer and Davis (Australia), Simpson, Holden and Vasquez (Australia)"
154e1789-16f6-4923-8dc2-370db6032575,a8c271c0-75c2-4f61-8cde-3b8c1693492c,278dc40d-dc7d-4bc2-927c-3933e4a906d1,outbound,2024-10-29 19:18:17,139349.23,GBP,8999,Business Transfer,business,22022.89,MasterCard,**** **** **** 6513,07/29,HSBC,AAA,fc76774e-f49f-49c8-acd7-6538572659a4,"Taylor, Shaffer and Davis","{'city': 'Harrisonport', 'state': 'PA', 'country': 'Australia'}",T7452,wire_transfer,online,"{'latitude': Decimal('-12.9401115'), 'longitude': Decimal('112.094264')}",619650,password,,43,approved,,,0,124.156.155.187,43b46f17-f026-455f-a6d4-006ff870777c,"Mozilla/5.0 (Linux; Android 6.0.1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/46.0.875.0 Safari/532.0",d45fd5a1-4e42-44cc-b511-293ae4736657,direct,"Payne, Hurley and Diaz (Mexico), Smith PLC (Mexico), Mahoney, White and Wallace (Singapore), Taylor, Shaffer and Davis (Australia), Simpson, Holden and Vasquez (Australia)"
515ad01f-9d64-45ca-a980-7d56a9535b03,a8c271c0-75c2-4f61-8cde-3b8c1693492c,278dc40d-dc7d-4bc2-927c-3933e4a906d1,outbound,2024-10-16 05:53:12,109688.56,GBP,6012,Business Transfer,business,35281.19,MasterCard,**** **** **** 5848,07/29,HSBC,AAA,5f81c6a4-9d00-4222-8f24-d1aa6f3c8abf,"Simpson, Holden and Vasquez","{'city': 'Rodneymouth', 'state': 'MN', 'country': 'Australia'}",T6013,wire_transfer,online,"{'latitude': Decimal('-71.8569665'), 'longitude': Decimal('-109.720545')}",837329,password,,76,approved,,,0,193.90.144.32,7df7c5e9-3323-4dfb-a524-a0cd3d995fc5,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/3473-01-23 00:57:50 Firefox/12.0,91e579dc-0eb7-4442-b0d8-af080789563e,direct,"Payne, Hurley and Diaz (Mexico), Smith PLC (Mexico), Mahoney, White and Wallace (Singapore), Taylor, Shaffer and Davis (Australia), Simpson, Holden and Vasquez (Australia)"
d180edb7-ef47-4bc3-9bc8-77c87212984d,a8c271c0-75c2-4f61-8cde-3b8c1693492c,278dc40d-dc7d-4bc2-927c-3933e4a906d1,outbound,2024-10-21 05:28:38,105321.88,GBP,6012,Business Transfer,business,17774.38,MasterCard,**** **** **** 7408,06/25,HSBC,AAA,ba7eb5e3-55ce-4e1c-bc0f-e95f6e6b07c1,Smith PLC,"{'city': 'Lake Bryan', 'state': 'HI', 'country': 'Mexico'}",T3455,wire_transfer,online,"{'latitude': Decimal('15.4591255'), 'longitude': Decimal('93.008578')}",166634,password,,52,approved,,,0,26.17.194.116,11bc7c3d-1d31-4555-8b56-e5944170c7dc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0 rv:5.0; sid-ET) AppleWebKit/534.19.4 (KHTML, like Gecko) Version/4.0.3 Safari/534.19.4",e94dcd54-6db0-4699-8bb8-60cf42d55707,business partner,"Payne, Hurley and Diaz (Mexico), Smith PLC (Mexico), Mahoney, White and Wallace (Singapore), Taylor, Shaffer and Davis (Australia), Simpson, Holden and Vasquez (Australia)"
b9dd1cba-42ea-4fe6-b1bf-376554105a79,a8c271c0-75c2-4f61-8cde-3b8c1693492c,278dc40d-dc7d-4bc2-927c-3933e4a906d1,outbound,2024-11-01 00:18:10,140790.46,GBP,4829,Business Transfer,business,46515.2,MasterCard,**** **** **** 6377,08/25,HSBC,AAA,067c97d9-6b83-4f84-a243-5e3fa449c776,"Taylor, Shaffer and Davis","{'city': 'Ricefurt', 'state': 'IN', 'country': 'Australia'}",T8311,wire_transfer,online,"{'latitude': Decimal('59.176774'), 'longitude': Decimal('-22.765261')}",825776,password,,31,approved,,,0,28.17.76.2,8d9f735a-dea4-4f0a-a78b-320d97495d60,Opera/9.40.(Windows NT 5.0; sa-IN) Presto/2.9.190 Version/11.00,e5d2edd1-301d-4a2d-85ff-bb71933a1685,business partner,"Payne, Hurley and Diaz (Mexico), Smith PLC (Mexico), Mahoney, White and Wallace (Singapore), Taylor, Shaffer and Davis (Australia), Simpson, Holden and Vasquez (Australia)"
0f49d717-87a4-45fc-a05e-45e79bd368db,a8c271c0-75c2-4f61-8cde-3b8c1693492c,45607dd2-6d5b-4dad-95c1-98592df663af,outbound,2024-11-04 01:57:58,174908.61,GBP,8999,Business Transfer,business,37641.75,MasterCard,**** **** **** 8537,03/33,NatWest,AAA,ba08a6e4-91a1-461b-a60c-4e387646aa85,"Mahoney, White and Wallace","{'city': 'South Gregorybury', 'state': 'OH', 'country': 'Singapore'}",T5268,wire_transfer,online,"{'latitude': Decimal('-15.3013375'), 'longitude': Decimal('-90.006068')}",435477,password,,44,approved,,,0,30.77.201.99,5cd9d193-5727-4a7c-be28-db12eddc4496,Mozilla/5.0 (Windows NT 11.0; ps-AF; rv:1.9.2.20) Gecko/4478-12-24 17:47:00 Firefox/3.8,bcb93273-5ae7-4375-91fc-b24461f0b55e,direct,"Payne, Hurley and Diaz (Mexico), Smith PLC (Mexico), Mahoney, White and Wallace (Singapore), Taylor, Shaffer and Davis (Australia), Simpson, Holden and Vasquez (Australia)"
f67b6581-c12c-4f98-bf26-d0c42e459191,a8c271c0-75c2-4f61-8cde-3b8c1693492c,278dc40d-dc7d-4bc2-927c-3933e4a906d1,outbound,2024-10-17 15:26:38,182624.69,GBP,4829,Business Transfer,business,36440.75,MasterCard,**** **** **** 2695,04/26,HSBC,AAA,a9d18362-4b56-4b96-a9c5-77ab9301ba78,"Simpson, Holden and Vasquez","{'city': 'East Derrick', 'state': 'NJ', 'country': 'Australia'}",T6780,wire_transfer,online,"{'latitude': Decimal('55.7525715'), 'longitude': Decimal('91.375464')}",776800,password,,52,approved,,,0,47.55.185.114,f2c1554b-8b7a-4d6a-b473-2b7d986e7f38,Mozilla/5.0 (Android 4.4.3; Mobile; rv:43.0) Gecko/43.0 Firefox/43.0,2632a6c9-6889-4f06-a18a-4465cbb0d159,direct,"Payne, Hurley and Diaz (Mexico), Smith PLC (Mexico), Mahoney, White and Wallace (Singapore), Taylor, Shaffer and Davis (Australia), Simpson, Holden and Vasquez (Australia)"
d5dd2470-f196-4f7e-8c66-809be024e3d5,a8c271c0-75c2-4f61-8cde-3b8c1693492c,278dc40d-dc7d-4bc2-927c-3933e4a906d1,outbound,2024-10-17 12:08:50,188357.6,GBP,8999,Business Transfer,business,25403.36,MasterCard,**** **** **** 5483,06/25,HSBC,AAA,18cc0b08-0daa-473a-9270-08d9b2505db2,Smith PLC,"{'city': 'Timothyville', 'state': 'PA', 'country': 'Mexico'}",T2938,wire_transfer,online,"{'latitude': Decimal('-67.704752'), 'longitude': Decimal('-10.397859')}",137281,password,,52,approved,,,0,48.6.158.202,41ce5e74-8ccf-416a-99a5-46c0b6b79a44,"Mozilla/5.0 (Linux; Android 4.4) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/51.0.892.0 Safari/536.0",a6b7a77c-6496-4713-a0ee-9fd8627375e9,business partner,"Payne, Hurley and Diaz (Mexico), Smith PLC (Mexico), Mahoney, White and Wallace (Singapore), Taylor, Shaffer and Davis (Australia), Simpson, Holden and Vasquez (Australia)"
c809ba05-1df9-4efe-b319-d4e3f09dfa4c,a8c271c0-75c2-4f61-8cde-3b8c1693492c,45607dd2-6d5b-4dad-95c1-98592df663af,outbound,2024-11-05 11:09:34,181954.92,GBP,8999,Business Transfer,business,41787.69,MasterCard,**** **** **** 8607,06/28,NatWest,AAA,2405b55f-7356-4b87-b593-ecba92878b0d,"Simpson, Holden and Vasquez","{'city': 'Whitestad', 'state': 'KY', 'country': 'Australia'}",T8686,wire_transfer,online,"{'latitude': Decimal('34.8005135'), 'longitude': Decimal('98.265325')}",209152,password,,46,approved,,,0,81.64.245.246,fb517a11-afda-4462-ab43-9ed14dc88550,"Mozilla/5.0 (Linux; Android 4.3.1) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/22.0.833.0 Safari/534.0",fd116150-5b57-4868-8a79-8e3d7250f4cd,business partner,"Payne, Hurley and Diaz (Mexico), Smith PLC (Mexico), Mahoney, White and Wallace (Singapore), Taylor, Shaffer and Davis (Australia), Simpson, Holden and Vasquez (Australia)"
0131e632-44d5-403b-9b13-ca22953a3510,a8c271c0-75c2-4f61-8cde-3b8c1693492c,278dc40d-dc7d-4bc2-927c-3933e4a906d1,outbound,2024-10-17 06:54:21,189720.9,GBP,6012,Business Transfer,business,30078.45,MasterCard,**** **** **** 9008,01/31,HSBC,AAA,c83a0125-87cd-4e34-93be-ae899366be9c,"Mahoney, White and Wallace","{'city': 'New Edward', 'state': 'PR', 'country': 'Singapore'}",T3395,wire_transfer,online,"{'latitude': Decimal('23.786290'), 'longitude': Decimal('59.684852')}",118249,password,,78,approved,,,0,21.131.115.99,f234bdfb-de15-4239-84f5-384703532c9d,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; pa-IN) AppleWebKit/535.5.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6535.5.6",14e2437f-ffc8-4aec-8f19-59564ac7cd58,direct,"Payne, Hurley and Diaz (Mexico), Smith PLC (Mexico), Mahoney, White and Wallace (Singapore), Taylor, Shaffer and Davis (Australia), Simpson, Holden and Vasquez (Australia)"
